max_power,engine,mileage,selling_price
72.4,2499.0,13.58,12.980799813082541
62.1,2523.0,15.96,12.89921982609012
88.76,1248.0,20.77,13.122363377404328
90.0,1248.0,18.8,12.154779351142624
90.0,1396.0,23.0,12.2783933071098
147.9,1991.0,18.3,12.793859310432293
99.0,1498.0,25.83,13.112313041550827
74.0,1248.0,26.59,13.304684934198283
85.8,1197.0,18.6,12.765688433465597
62.1,1086.0,17.92,12.043553716032399
100.6,2494.0,12.99,13.527828485512494
100.6,2494.0,12.99,13.592367006650065
88.5,1248.0,28.09,13.697852514496041
103.5,1598.0,14.3,12.886641043883259
121.3,1591.0,17.0,13.9108207377686
71.0,1120.0,24.4,12.793859310432293
90.0,1396.0,23.0,12.429216196844383
82.4,1248.0,19.41689295516926,12.072541252905651
69.01,1405.0,19.09,12.611537753638338
153.86,2179.0,17.6,14.074021253115776
73.9,1248.0,19.3,12.676076274775909
73.97,1186.0,24.0,13.017002861746503
67.04,998.0,20.51,13.071070083016778
81.86,1197.0,18.9,12.84792653170257
66.1,998.0,19.0,12.524526376648708
35.0,796.0,19.7,11.608235644774552
74.0,1248.0,27.39,13.514405465180353
67.1,998.0,19.0,12.323855681186558
167.67,1956.0,17.0,14.316285845876763
62.1,2523.0,15.96,13.142164043914272
70.0,1120.0,24.0,13.081541382884074
81.8,1197.0,22.0,13.304684934198283
82.0,1197.0,18.9,12.928778628331663
125.0,1794.0,13.4,11.813030057420567
187.4,2354.0,12.0,14.417090544998729
63.0,2523.0,15.96,12.89921982609012
81.86,1197.0,18.9,13.122363377404328
98.6,1498.0,25.8,13.005829561148378
130.0,1799.0,13.5,11.918390573078392
169.0,2982.0,11.5,14.018451401960965
153.86,2953.0,11.4,14.058456736574664
99.0,1498.0,25.83,13.122363377404328
190.0,1995.0,16.78,15.501909511534503
78.9,1197.0,20.36,11.918390573078392
46.3,796.0,19.7,12.301382825334498
121.0,1497.0,17.3,13.79224193102492
153.86,2179.0,14.1,14.038654109278484
103.5,1598.0,14.3,13.37700559577791
69.01,1405.0,19.09,12.821258284620408
88.5,1248.0,24.3,13.473020249017498
138.1,2197.0,13.7,13.017002861746503
68.0,1399.0,20.0,12.691580461311874
115.0,2179.0,13.5,12.89921982609012
71.0,1405.0,17.0,11.931635799828413
37.0,796.0,16.1,10.714417768752456
126.32,1582.0,22.32,12.873902018105829
71.0,1405.0,17.0,11.931635799828413
74.0,1248.0,22.9,12.834681304952548
88.73,1396.0,22.54,13.38472764187182
82.4,1248.0,19.41689295516926,10.433615678556617
100.0,1493.0,18.49,13.39239051461739
74.0,1248.0,23.4,12.992252414150386
82.0,1197.0,18.9,13.030245895511662
108.5,1497.0,21.5,13.676247341204819
79.4,1199.0,18.6,11.918390573078392
88.5,1248.0,24.3,13.493926933836812
118.0,1497.0,17.0,12.611537753638338
73.0,1196.0,15.37,12.821258284620408
138.03,2179.0,13.93,12.429216196844383
73.9,1248.0,19.3,12.323855681186558
88.5,1248.0,24.3,13.493926933836812
117.3,1497.0,15.4,13.652991628466498
88.8,1248.0,21.5,12.396693005138824
140.0,2179.0,16.0,13.9108207377686
187.7,2179.0,12.7,14.508657738524219
68.05,1399.0,20.0,12.676076274775909
126.2,1582.0,23.9,13.592367006650065
88.76,1248.0,20.77,13.217673557208654
56.3,936.0,25.44,12.834681304952548
181.0,1995.0,16.07,13.081541382884074
62.1,1086.0,17.92,12.206072645530174
74.0,1248.0,26.59,13.444446876573442
